id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,population,"time_to_arrest,hours",severity_score,day_or_night
13775679,JJ181823,2025-03-14 23:34:00,077XX S COLES AVE,820,THEFT,$500 AND UNDER,RESIDENCE,False,False,421,4,7,43,6,1196807.0,1854560.0,2025,2025-03-22 15:41:01,41.755781299,-87.554309795,"
,  
(41.755781299, -87.554309795)",110000,,5.0,night
13775628,JJ181831,2025-03-14 23:31:00,056XX W NEWPORT AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1633,16,30,15,15,1138115.0,1922372.0,2025,2025-03-22 15:41:01,41.943124456,-87.767767828,"
,  
(41.943124456, -87.767767828)",340000,184.16694444444445,0.0,night
13776491,JJ182802,2025-03-14 23:30:00,035XX N KIMBALL AVE,760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1732,17,35,21,6,1153099.0,1923246.0,2025,2025-03-22 15:41:01,41.945238279,-87.712670479,"
,  
(41.945238279, -87.712670479)",390000,,5.0,night
13776604,JJ181864,2025-03-14 23:30:00,068XX S OGLESBY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,331,3,5,43,14,1192945.0,1860132.0,2025,2025-03-22 15:41:01,41.771166387,-87.56828122,"
,  
(41.771166387, -87.56828122)",90000,,6.0,night
13775833,JJ182061,2025-03-14 23:30:00,029XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,133,1,4,35,14,1179394.0,1885524.0,2025,2025-03-22 15:41:01,41.841164277,-87.6171782,"
,  
(41.841164277, -87.6171782)",80000,,6.0,night
13775643,JJ181872,2025-03-14 23:30:00,011XX W 61ST ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,712,7,16,68,08B,1169575.0,1864341.0,2025,2025-03-22 15:41:01,41.783254922,-87.653824894,"
,  
(41.783254922, -87.653824894)",200000,,10.0,night
13775635,JJ181859,2025-03-14 23:30:00,016XX W FULLERTON AVE,560,ASSAULT,SIMPLE,GAS STATION,False,False,1811,18,32,7,08A,1165150.0,1916014.0,2025,2025-03-22 15:41:01,41.925145282,-87.668581762,"
,  
(41.925145282, -87.668581762)",360000,,10.0,night
13775721,JJ181846,2025-03-14 23:29:00,006XX N SAWYER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1121,11,27,23,08B,1154592.0,1904143.0,2025,2025-03-22 15:41:01,41.892788262,-87.707695004,"
,  
(41.892788262, -87.707695004)",310000,,10.0,night
13775663,JJ181817,2025-03-14 23:26:00,003XX N CICERO AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1532,15,28,25,15,1144319.0,1901677.0,2025,2025-03-22 15:41:01,41.886220625,-87.745486121,"
,  
(41.886220625, -87.745486121)",320000,184.25027777777777,0.0,night
13775621,JJ181828,2025-03-14 23:25:00,026XX S RIDGEWAY AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,True,False,1031,10,22,30,15,1151794.0,1886283.0,2025,2025-03-22 15:41:01,41.843833929,-87.718440867,"
,  
(41.843833929, -87.718440867)",260000,184.26694444444445,0.0,night
13775678,JJ181818,2025-03-14 23:10:00,068XX S EAST END AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,332,3,5,43,08B,1188712.0,1860059.0,2025,2025-03-22 15:41:01,41.771068348,-87.583799955,"
,  
(41.771068348, -87.583799955)",90000,184.51694444444445,10.0,night
13775914,JJ182198,2025-03-14 23:10:00,055XX S CORNELL AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,False,False,235,2,5,41,7,1188202.0,1868661.0,2025,2025-03-22 15:41:01,41.794685091,-87.585395126,"
,  
(41.794685091, -87.585395126)",90000,,6.0,night
13775690,JJ181844,2025-03-14 23:10:00,0000X E ADAMS ST,820,THEFT,$500 AND UNDER,RESTAURANT,False,False,113,1,34,32,6,1176634.0,1899472.0,2025,2025-03-22 15:41:01,41.87950122,-87.626885165,"
,  
(41.87950122, -87.626885165)",380000,,5.0,night
